Preparing worktree (detached HEAD 25aea76)
negative controls: 147 of 147
worktree: /var/folders/gy/fgcsxyg95yxdym1qs1tvkzj80000gp/T/erl2-negative-control-kjbPvx/tree
installing dependencies in the worktree (once)…
  ✔ window-producer-milestone-boundary: 13 pass / 3 fail (expected fail, named_tests_failed)
  ✔ window-producer-policy-bounds: 15 pass / 1 fail (expected fail, named_tests_failed)
  ✔ window-producer-whole-second-durations: 15 pass / 1 fail (expected fail, named_tests_failed)
  ✔ window-verifier-requires-commitment: 17 pass / 1 fail (expected fail, named_tests_failed)
  ✔ window-verifier-exact-cutoff: 17 pass / 1 fail (expected fail, named_tests_failed)
  ✔ window-verifier-exact-milestone: 16 pass / 2 fail (expected fail, named_tests_failed)
  ✔ window-verifier-capture-window: 18 pass / 0 fail (expected pass, no_kill_as_declared) — no end-to-end mutation reaches it; the closure refuses a resealed snapshot chain first
  ✔ window-verifier-policy-binding: 17 pass / 1 fail (expected fail, named_tests_failed)
  ✔ window-verifier-process-binding: 17 pass / 1 fail (expected fail, named_tests_failed)
  ✔ window-verifier-pre-capture-ordering: 17 pass / 1 fail (expected fail, named_tests_failed)
  ✔ window-signer-inventory-inclusion: 3 pass / 19 fail (expected fail, named_tests_failed)
  ✔ window-signer-role-separation: 5 pass / 13 fail (expected fail, named_tests_failed)
  ✔ mounted-file-byte-scan: 10 pass / 2 fail (expected fail, named_tests_failed)
  ✔ lab-telemetry-oracle-scan: 9 pass / 3 fail (expected fail, named_tests_failed)
  ✔ subject-output-secret-canary-scan: 11 pass / 1 fail (expected fail, named_tests_failed)
  ✔ subject-output-forbidden-identifier-scan: 11 pass / 1 fail (expected fail, named_tests_failed)
  ✔ subject-output-declared-byte-ceiling: 11 pass / 1 fail (expected fail, named_tests_failed)
  ✔ subject-output-byte-total-counts-payloads: 11 pass / 1 fail (expected fail, named_tests_failed)
  ✔ pre-environment-bundle-run-binding: 1 pass / 2 fail (expected fail, named_tests_failed)
  ✔ compose-ownership-label-verification: 23 pass / 5 fail / 1 skipped (expected fail, named_tests_failed)
  ✔ compose-running-image-verification: 23 pass / 5 fail / 1 skipped (expected fail, named_tests_failed)
  ✔ compose-endpoint-live-revalidation: 26 pass / 3 fail (expected fail, named_tests_failed)
  ✔ loopback-egress-host-validation: 28 pass / 1 fail (expected fail, named_tests_failed)
  ✔ endpoint-locked-image-verification: 26 pass / 3 fail (expected fail, named_tests_failed)
  ✔ endpoint-exact-port-binding: 26 pass / 3 fail (expected fail, named_tests_failed)
  · prerequisite otel-demo-upstream: satisfied (provisioned /private/var/folders/gy/fgcsxyg95yxdym1qs1tvkzj80000gp/T/erl2-negative-control-kjbPvx/tree/environments/otel-demo/upstream/extracted-1bf3ef8fbaffc049, archive sha256:1bf3ef8fbaffc049919b497a9174637dbee74ec1797ce5ff85d3d12dc86c051c)
  ✔ substrate-loopback-only-rendered: 28 pass / 1 fail (expected fail, named_tests_failed) — the overlay is a locked configuration file, so this control also moves a config hash; the topology assertion is what it measures
  ✔ container-profile-requires-derivation: 12 pass / 1 fail (expected fail, named_tests_failed)
  ✔ container-profile-substrate-qualification: 9 pass / 4 fail (expected fail, named_tests_failed)
  ✔ container-profile-subject-trust: 11 pass / 2 fail (expected fail, named_tests_failed)
  ✔ container-profile-launcher-observed: 11 pass / 2 fail (expected fail, named_tests_failed)
  ✔ container-control-report-derived-per-control: 12 pass / 1 fail (expected fail, named_tests_failed)
  ✔ container-activation-rederived-from-evidence: 12 pass / 1 fail (expected fail, named_tests_failed)
  ✔ container-manifest-names-its-substrate: 12 pass / 1 fail (expected fail, named_tests_failed)
  · prerequisite docker-daemon: satisfied
  ✔ container-deadline-kills-the-container: 0 pass / 2 fail (expected fail, named_tests_failed) — Needs a container daemon. On a host without one the deadline tests take their announced skip branch, the declared prerequisite is unavailable, and the campaign records `unmeasured_here` — which is neither agreement nor disagreement, and must not be read as a guard that is not load-bearing. The ordinary gate must never require a daemon; this control is where that reading is made explicit.
  ✔ v2-local-mode-accepts-v1: 9 pass / 1 fail (expected fail, named_tests_failed)
  ✔ v2-receipt-version-guard: 9 pass / 1 fail (expected fail, named_tests_failed)
  ✔ v2-local-context-closed: 5 pass / 1 fail (expected fail, named_tests_failed)
  ✔ v2-not-scored-constant: 5 pass / 1 fail (expected fail, named_tests_failed)
  ✔ v2-governed-consumer-firewall: 2 pass / 1 fail (expected fail, named_tests_failed)
  ✔ v2-receipt-operation-scope: 9 pass / 1 fail (expected fail, named_tests_failed)
  ✔ v2-per-dispatch-digest: 9 pass / 1 fail (expected fail, named_tests_failed)
  ✔ v2-local-output-bytes: 9 pass / 1 fail (expected fail, named_tests_failed)
  ✔ v2-ambiguous-never-replayed: 5 pass / 1 fail (expected fail, named_tests_failed)
  ✔ v2-post-freeze-dispatch: 5 pass / 1 fail (expected fail, named_tests_failed)
